date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:54:39	116018/116018	---MCZ	200	added ('OK')	text/html	etag:%2267859-1767538314;gz%22	https://giainoffset.com/phan-mem-tinh-gia/?zarsrc=31&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo	C:/My%20Web%20Sites/binhfile/giainoffset.com/phan-mem-tinh-gia/index950c.html	(from )
21:54:39	178/178	---M-Z	200	added ('OK')	text/plain	etag:%2267370-1767476711;gz%22	https://giainoffset.com/robots.txt		(from )
21:54:40	52971/52971	---M-Z	200	added ('OK')	application/javascript	etag:%22ceeb-68772baa-1947f7566eeabf37;gz%22	https://giainoffset.com/wp-content/themes/flatsome/assets/js/flatsome.js?ver=e1ad26bd5672989785e1	C:/My%20Web%20Sites/binhfile/giainoffset.com/wp-content/themes/flatsome/assets/js/flatsome8489.js	(from https://giainoffset.com/phan-mem-tinh-gia/?zarsrc=31&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
21:54:40	49912/49912	---M-Z	200	added ('OK')	application/javascript	etag:%22c2f8-68772baa-3df92b0aefa07ca2;gz%22	https://giainoffset.com/wp-content/themes/flatsome/assets/js/chunk.slider.js?ver=3.19.15	C:/My%20Web%20Sites/binhfile/giainoffset.com/wp-content/themes/flatsome/assets/js/chunk.slider792b.js	(from https://giainoffset.com/phan-mem-tinh-gia/?zarsrc=31&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
21:54:40	20040/20040	---M-Z	200	added ('OK')	application/javascript	etag:%224e48-68772baa-89a8bf39b1136710;gz%22	https://giainoffset.com/wp-content/themes/flatsome/assets/js/chunk.popups.js?ver=3.19.15	C:/My%20Web%20Sites/binhfile/giainoffset.com/wp-content/themes/flatsome/assets/js/chunk.popups792b.js	(from https://giainoffset.com/phan-mem-tinh-gia/?zarsrc=31&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
21:54:41	39859/39859	---M-Z	200	added ('OK')	application/javascript	etag:%229bb3-68772baa-c5edd3739b61f2b5;gz%22	https://giainoffset.com/wp-content/themes/flatsome/assets/js/chunk.tooltips.js?ver=3.19.15	C:/My%20Web%20Sites/binhfile/giainoffset.com/wp-content/themes/flatsome/assets/js/chunk.tooltips792b.js	(from https://giainoffset.com/phan-mem-tinh-gia/?zarsrc=31&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
21:54:41	23214/23214	---M-Z	200	added ('OK')	application/javascript	etag:%225aae-68772baa-b160edc47ed7b5b;gz%22	https://giainoffset.com/wp-content/themes/flatsome/assets/js/woocommerce.js?ver=dd6035ce106022a74757	C:/My%20Web%20Sites/binhfile/giainoffset.com/wp-content/themes/flatsome/assets/js/woocommercefa29.js	(from https://giainoffset.com/phan-mem-tinh-gia/?zarsrc=31&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
21:54:41	226993/226993	---M-Z	200	added ('OK')	text/css	etag:%22376b1-695732f5-315d14f2431679d7;gz%22	https://giainoffset.com/wp-content/litespeed/css/c622d3438794fb61aee359ba6233e746.css?ver=70f3b	C:/My%20Web%20Sites/binhfile/giainoffset.com/wp-content/litespeed/css/c622d3438794fb61aee359ba6233e7468d52.css	(from https://giainoffset.com/phan-mem-tinh-gia/?zarsrc=31&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
21:54:41	232803/232803	---MCZ	200	added ('OK')	text/css	etag:W/%2238d63-xawd7pYctZoEUlbsID9p4xeHL3w%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css?ver=6.9	C:/My%20Web%20Sites/binhfile/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.mind4d0.css	(from https://giainoffset.com/phan-mem-tinh-gia/?zarsrc=31&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
21:54:42	116019/116019	---MCZ	200	added ('OK')	text/html	etag:%2267865-1767538477;gz%22	https://giainoffset.com/phan-mem-tinh-gia/	C:/My%20Web%20Sites/binhfile/giainoffset.com/phan-mem-tinh-gia/index.html	(from https://giainoffset.com/phan-mem-tinh-gia/?zarsrc=31&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
21:54:42	101894/101894	---MCZ	200	added ('OK')	text/css	etag:W/%228bb6644125ddeee7a27732e86f65fa05%22	https://use.fontawesome.com/releases/v6.2.1/css/all.css	C:/My%20Web%20Sites/binhfile/use.fontawesome.com/releases/v6.2.1/css/all.css	(from https://giainoffset.com/phan-mem-tinh-gia/?zarsrc=31&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
21:54:42	27593/27593	---MCZ	200	added ('OK')	text/css	etag:W/%221568e812cde85e014a6a0faf629ff2f9%22	https://use.fontawesome.com/releases/v6.2.1/css/v4-shims.css	C:/My%20Web%20Sites/binhfile/use.fontawesome.com/releases/v6.2.1/css/v4-shims.css	(from https://giainoffset.com/phan-mem-tinh-gia/?zarsrc=31&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
21:54:43	228007/228007	---MCZ	200	added ('OK')	application/rss+xml	etag:%222af1deff9db33e4436a92cedea7ced40%22	https://giainoffset.com/phan-mem-tinh-gia/feed/	C:/My%20Web%20Sites/binhfile/giainoffset.com/phan-mem-tinh-gia/feed/index.html	(from https://giainoffset.com/phan-mem-tinh-gia/?zarsrc=31&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
21:54:43	808/808	---M--	200	added ('OK')	image/jpeg	etag:%22328-68898020-4ba80d069c49aae3;;;%22	https://giainoffset.com/wp-content/uploads/2025/07/cropped-logovuong-web-32x32.jpg	C:/My%20Web%20Sites/binhfile/giainoffset.com/wp-content/uploads/2025/07/cropped-logovuong-web-32x32.jpg	(from https://giainoffset.com/phan-mem-tinh-gia/?zarsrc=31&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
21:54:43	6471/6471	---M--	200	added ('OK')	image/jpeg	etag:%221947-68898020-e856ba0ce96952cc;;;%22	https://giainoffset.com/wp-content/uploads/2025/07/cropped-logovuong-web-192x192.jpg	C:/My%20Web%20Sites/binhfile/giainoffset.com/wp-content/uploads/2025/07/cropped-logovuong-web-192x192.jpg	(from https://giainoffset.com/phan-mem-tinh-gia/?zarsrc=31&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
21:54:44	6063/6063	---M--	200	added ('OK')	image/jpeg	etag:%2217af-68898020-c5ae86a6c7f90cba;;;%22	https://giainoffset.com/wp-content/uploads/2025/07/cropped-logovuong-web-180x180.jpg	C:/My%20Web%20Sites/binhfile/giainoffset.com/wp-content/uploads/2025/07/cropped-logovuong-web-180x180.jpg	(from https://giainoffset.com/phan-mem-tinh-gia/?zarsrc=31&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo)
21:54:45	3790/3790	---M--	200	added ('OK')	image/png	etag:%22ece-68772baa-348957854b1f39fc;;;%22	https://giainoffset.com/wp-content/themes/flatsome/assets/img/shadow@2x.png	C:/My%20Web%20Sites/binhfile/giainoffset.com/wp-content/themes/flatsome/assets/img/shadow@2x.png	(from https://giainoffset.com/wp-content/litespeed/css/c622d3438794fb61aee359ba6233e746.css?ver=70f3b)
21:54:45	1020/1020	---M--	200	added ('OK')	image/png	etag:%223fc-68772baa-a94a849154f7f714;;;%22	https://giainoffset.com/wp-content/themes/flatsome/assets/img/underline.png	C:/My%20Web%20Sites/binhfile/giainoffset.com/wp-content/themes/flatsome/assets/img/underline.png	(from https://giainoffset.com/wp-content/litespeed/css/c622d3438794fb61aee359ba6233e746.css?ver=70f3b)
